Title,ReleaseDate,Popularity,Budget,Revenue,Director,Genre,IMDBRating,IMDBVotes,BoxOfice,Production
Beyond,'29/09/2016',0.238823,0.0,0.0,Jeremy Haccoun,"Short, Action, Adventure",7.3,26,N/A,N/A
The Gruffalo's Child,'25/12/2011',0.842792,0.0,0.0,"Uwe Heidschötter, Johannes Weiland","Animation, Family",7.1,"1,894",N/A,Kidtoon Films
Othello,'04/10/1981',0.439712,0.0,0.0,Jonathan Miller,"Drama, Romance",7.2,326,N/A,N/A
Snow Bride,'09/11/2013',0.413798,0.0,0.0,Bert Kish,"Comedy, Family, Romance",6.8,"1,644",N/A,Johnson Production Group
La femme aux bottes rouges,'11/12/1974',0.432827,0.0,0.0,Juan Luis Buñuel,"Comedy, Drama, Fantasy",6.4,305,N/A,N/A
Duplicity,'14/05/2004',0.007217,0.0,0.0,Jack Cornish,Crime,5.0,26,N/A,N/A
Goldstaub,'01/01/1993',1e-06,0.0,0.0,Ottokar Runze,Romance,N/A,N/A,N/A,N/A
The Picture Idol,'31/05/1912',0.00422,0.0,0.0,James Young,"Short, Comedy",5.9,12,N/A,N/A
Broeders,'21/09/2011',0.016683,0.0,0.0,"Adil El Arbi, Bilall Fallah","Short, Drama",7.4,36,N/A,N/A
Dragonheart 3: The Sorcerer's Curse,'24/02/2015',5.126319,0.0,0.0,Colin Teague,"Adventure, Fantasy",5.1,"2,521",N/A,Universal Pictures
Liberate i pesci!,'28/01/2000',0.002886,0.0,0.0,Cristina Comencini,Comedy,6.3,149,N/A,N/A
Laurel and Hardy's Laughing 20's,'01/01/1965',0.006695,0.0,0.0,Robert Youngson,"Comedy, Family",7.4,222,N/A,N/A
Being Carl Williams,'22/02/2009',0.0075,0.0,0.0,Abe Forsythe,Short,7.2,30,N/A,N/A
Alarm im Aquarium,'01/01/1964',0.002063,0.0,0.0,Franz Marischka,N/A,N/A,N/A,N/A,N/A
Mysterious Castles of Clay,'01/01/1978',1.2e-05,0.0,0.0,Alan Root,Documentary,8.3,38,N/A,N/A
Jet Storm,'16/09/1959',0.024191,0.0,0.0,Cy Endfield,Thriller,6.7,122,N/A,N/A
Answers,'01/01/1985',0.119003,0.0,0.0,George Schaefer,Drama,N/A,N/A,N/A,N/A
Tarzun and the Valley of Lust,'01/01/1970',0.043869,0.0,0.0,W.P. Mogul,"Adventure, Comedy",3.5,55,N/A,N/A
Suzanne's Diary for Nicholas,'27/03/2005',0.093203,0.0,0.0,Richard Friedenberg,"Drama, Romance",6.5,"1,071",N/A,Anchor Bay Entertainment
Don't Break Down: A Film About Jawbreaker,'11/08/2017',3.133614,0.0,0.0,"Tim Irwin, Keith Schieron",Documentary,N/A,N/A,N/A,N/A
Mickey Cuts Up,'01/12/1931',0.08994,0.0,0.0,Burt Gillett,"Family, Animation, Comedy",6.8,217,N/A,N/A
I'm A Porn Star,'04/10/2013',0.625593,0.0,0.0,Charlie David,"Documentary, Biography, Comedy",4.7,152,N/A,N/A
Xavier,'23/02/2016',0.254532,0.0,0.0,Ricky Mastro,Short,N/A,N/A,N/A,N/A
Pictures from Life's Other Side,'01/01/1971',0.1,0.0,0.0,Jim McBride,Documentary,5.8,12,N/A,N/A
Metastasis,'20/03/1971',0.0,0.0,0.0,Toshio Matsumoto,Short,N/A,N/A,N/A,N/A
Schneider Wibbel,'12/06/1959',0.005049,0.0,0.0,Peter Hamel,Comedy,8.2,12,N/A,N/A
A is For Alex,'08/03/2014',0.022949,0.0,0.0,Alex Orr,"Comedy, Drama, Family",7.9,16,N/A,N/A
Me'Ahorei Hasoragim II,'02/01/1992',7.2e-05,0.0,0.0,Uri Barbash,Drama,7.3,10,N/A,N/A
Two,'22/02/2003',0.005754,0.0,0.0,Nick Peterson,"Short, Drama",N/A,N/A,N/A,N/A
Rosemary's Baby,'12/06/1968',3.196893,3200000.0,33395426.0,Roman Polanski,"Drama, Horror",8.0,"151,791",N/A,Paramount Pictures
Buds For Life,'15/11/2004',0.009924,0.0,0.0,Gabriel Bologna,Comedy,6.1,48,N/A,Maverick Entertainment
Sarah Millican: Chatterbox Live,'21/11/2011',0.021111,0.0,0.0,Brian Klein,"Documentary, Comedy",7.7,89,N/A,N/A
Dongata,'08/05/2015',0.220437,0.0,0.0,Vamsy Krishna,Comedy,6.2,54,N/A,N/A
Numbers & Friends,'11/09/2013',0.104268,0.0,0.0,"Sascha M. Dornhoefer, Alexandra Rothert","Short, Music, Sport",N/A,N/A,N/A,N/A
Lead with Your Heart,'19/09/2015',0.23759,0.0,0.0,Bradley Walsh,"Drama, Romance",5.8,233,N/A,LWH77 Productions
The Boy She Met Online,'21/08/2010',0.035873,0.0,0.0,Curtis Crawford,Thriller,4.4,824,N/A,N/A
The Golden Years,'01/01/1960',0.002063,0.0,0.0,N/A,"Documentary, Short",5.1,46,N/A,N/A
Import,'20/05/2016',0.244668,0.0,0.0,Ena Sendijarevic,"Short, Biography, Comedy",7.6,26,N/A,N/A
Ed Sheeran: Jumpers for Goalposts,'22/10/2015',0.128844,0.0,0.0,Paul Dugdale,"Documentary, Music",8.7,313,N/A,JA Digital
Grab and Run,'NaT',0.0,0.0,0.0,Robert LaCommare,"Short, Crime",N/A,N/A,N/A,N/A
Love,'28/11/1927',0.055448,0.0,0.0,"Edmund Goulding, John Gilbert","Drama, Romance",7.5,671,N/A,MGM
The Cat in the Hat Knows a Lot About Camping!,'25/07/2016',6e-05,0.0,0.0,Paul Hunt,Animation,5.2,5,N/A,N/A
Ein Albtraum von 3 1/2 Kilo,'23/08/2002',0.006641,0.0,0.0,Uwe Janson,Comedy,5.7,23,N/A,N/A
The Constant Nymph,'01/12/1933',0.163556,0.0,0.0,Basil Dean,N/A,8.0,19,N/A,N/A
The Last 15,'30/03/2007',0.069546,0.0,0.0,Antonio Campos,Short,5.5,82,N/A,N/A
Uramisten,'02/05/1984',2.4e-05,0.0,0.0,Péter Gárdos,Drama,7.4,72,N/A,N/A
Two-Bit Waltz,'21/11/2014',0.500006,0.0,0.0,Clara Mamet,"Comedy, Drama, Family",4.8,334,"$2,051",Monterey Media
Katie Fforde - Diagnose Liebe,'12/02/2012',0.214839,0.0,0.0,Helmut Metzger,Romance,5.9,16,N/A,N/A
Recommended by Enrique,'13/06/2014',0.027556,0.0,0.0,"Rania Attieh(co-director), Daniel Garcia(co-director)","Adventure, Crime, Western",4.8,8,N/A,N/A
Modesty Blaise,'01/05/1966',2.526125,0.0,0.0,Joseph Losey,"Action, Adventure, Comedy",5.2,"2,015",N/A,Twentieth Century Fox Home Entertainment
Not Since You,'25/10/2009',0.069632,0.0,0.0,Jeff Stephenson,"Drama, Romance",5.8,"1,484",N/A,WARNER BROTHERS PICTURES
Lou Reed Remembered,'14/12/2013',0.020625,0.0,0.0,Chris Rodley,Documentary,6.2,6,N/A,N/A
The Spirit of '43,'07/01/1943',0.889023,0.0,0.0,Jack King,"Animation, Short, Documentary",5.5,408,N/A,N/A
Below Zero,'26/04/1930',0.031606,0.0,0.0,James Parrott,"Short, Comedy",7.4,"1,062",N/A,N/A
Abie's Irish Rose,'03/11/1928',0.011541,0.0,0.0,Victor Fleming,"Drama, Comedy",5.2,16,N/A,N/A
The Sound of Belgium,'17/11/2012',0.056201,0.0,0.0,Jozef Deville,"Documentary, History, Music",8.1,303,N/A,N/A
Jackson Pollock 51,'19/07/1951',0.001875,0.0,0.0,N/A,"Documentary, Short, Biography",6.1,9,N/A,N/A
Kickstart,'13/01/2009',0.244004,0.0,0.0,Shane Kavanagh,"Short, Comedy, Horror",N/A,N/A,N/A,N/A
The Reaping,'05/04/2007',2.598573,40000000.0,62771059.0,Stephen Hopkins,"Horror, Thriller",5.7,"38,717","$25,100,000",Warner Bros. Pictures
A Question of Time,'NaT',2.4e-05,0.0,0.0,Radek Sienski,"Short, Drama, Mystery",6.8,13,N/A,N/A
The Trespassers,'18/08/1976',0.30441,0.0,0.0,John Duigan,Drama,6.8,5,N/A,N/A
Men of the Hour,'01/01/1977',0.0,0.0,0.0,Ming-Hua Chen,"Action, Adventure",6.0,21,N/A,N/A
Go Quiet,'28/04/2010',0.010702,0.0,0.0,Dean DeBlois,Music,8.8,78,N/A,N/A
North,'22/07/1994',1.98417,40000000.0,0.0,Rob Reiner,"Adventure, Comedy, Drama",4.4,"11,800",N/A,New Line/Columbia Tristar
